,Nom,Téléphone,Adresse,Ville,Département,Capacité,Type d'établissement,Capacité médecine,Capacité chirurgie,Capacité obstétrique,Capacité psychiatrie,Capacité moyen séjour,Capacité long séjour,Capacité hébergement,Capacité hospitalisation à domicile,Capacité service de soins infirmiers à domicile,Equipement : scanner,Equipement : irm,Equipement : radiologie numérisée,Equipement : radiologie vasculaire,Equipement : caméras à scintillon,Equipement : tep (tomographe)
879,"Hôpital de La Bassée (Centre de Rééducation, Réadaptation, Convalescence) (La Bassée)",03 20 29 53 00," 32 - 34, rue des Fossés  59480 La Bassée",La Bassée,59, 94 places, Centre Hospitalier,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0
880,Centre hospitalier  (LOOS),03 62 21 04 00," 20, rue Henri Barbusse BP 57 59374 LOOS",LOOS,59, 90 places, Centre Hospitalier,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0
881,Fondation Hopale - Centre Clair Séjour  (Bailleul),03 28 43 49 00," 65, Rue de Neuve Eglise 59270 Bailleul 65, Rue de Neuve Eglise 59270 Bailleul",Bailleul,59, 82 places, Etablissement Réadaptation Fonctionnelle,0,0,0,0,12,70,0,0,0,0,0,0,0,0,0
882,Centre Hospitalier  (HAUTMONT),03 27 63 60 20," 136, rue Gambetta B.P. 90115 59330 HAUTMONT",HAUTMONT,59, 81 places, Centre Hospitalier,0,0,0,0,41,40,0,0,39,0,0,0,0,0,0
883,Centre hospitalier  (Wattrelos),03 20 66 40 00, 30 rue du Dr Alexander Fleming BP 105 59393 Wattrelos,Wattrelos,59, 77 places, Centre Hospitalier,40,0,0,0,37,0,0,0,0,0,0,2,0,0,0
884,Centre Julien Lagache - Soins Palliatifs - SSR Lagache  (ROUBAIX),03 20 99 31 31, 31 rue de Barbieux CS 60359 59056 ROUBAIX,ROUBAIX,59, 67 places, Centre Hospitalier,12,0,0,0,55,0,0,0,0,0,0,0,0,0,0
885,SERVICE DE SOINS DE SUITE ET DE READAPTATION HELENE BOREL  (RAIMBEAUCOURT),03 27 93 16 16, AVENUE DU CHATEAU DU LIEZ RAIMBEAUCOURT 59283 RAIMBEAUCOURT,RAIMBEAUCOURT,59, 64 places, Etablissement de sante? prive? autorise? en SSR,0,0,0,0,13,51,0,0,0,0,0,0,0,0,0
886,Soins de Suite et de Réadaptation (SSR) Résidences Curie et Rostand (ARMENTIERES),03 20 48 33 90, 18 rue du Maréchal Foch  59280 ARMENTIERES,ARMENTIERES,59, 60 places, Centre Hospitalier,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0
887,"USLD ""Au fil de l'Eau""  (SECLIN)",Pas de numéro, rue d'Apolda  59471 SECLIN,SECLIN,59, 60 places, Etablissement de Soins Longue Durée,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0
888,Unité de Soins de Longue Durée Résidence Curie (ARMENTIERES),03 20 48 33 90, 18 rue du Maréchal Foch  59280 ARMENTIERES,ARMENTIERES,59, 60 places, Etablissement de Soins Longue Durée,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0
889,USLD PAVILLON ST JULIEN (CAMBRAI),03 27 73 73 02, 516 Avenue de Paris BP389 59407 CAMBRAI,CAMBRAI,59, 60 places, Etablissement de Soins Longue Durée,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0
890,Résidence les Jardins du Vélodrome (SSR polyvalent)  (ROUBAIX),03 20 99 31 31, rue Pierre de Coubertin CS 60359 59056 ROUBAIX,ROUBAIX,59, 58 places, Centre Hospitalier,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0
891,Centre Hospitalier  (BAILLEUL),03 28 43 70 00, 40 rue de lille  59270 BAILLEUL,BAILLEUL,59, 54 places, Centre Hospitalier,24,0,0,0,30,0,0,0,0,0,0,1,0,0,0
892,Unité de Soins de Longue Durée Les Chênes  (Le Quesnoy),03 27 14 86 26, 90 rue du 8 mai 1945 BP 20061 59530 Le Quesnoy,Le Quesnoy,59, 40 places, Etablissement de Soins Longue Durée,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
893,Service d'Addictologie  (ROUBAIX),03 20 99 31 31, 20 Avenue Julien Lagache CS 60359 59056 ROUBAIX,ROUBAIX,59, 34 places, Centre Hospitalier,32,0,0,0,2,0,0,0,0,0,0,0,0,0,0
894,Résidence Isabeau de Roubaix (USLD)  (ROUBAIX),03 20 99 31 31, 53 rue Saint Antoine CS 60359 59056 ROUBAIX,ROUBAIX,59, 30 places, Etablissement de Soins Longue Durée,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
895,Résidence Fraternité (USLD)  (ROUBAIX),03 20 99 31 31, 20 Avenue Julien Lagache CS 60359 59056 ROUBAIX,ROUBAIX,59, 30 places, Etablissement de Soins Longue Durée,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
896,Centre d'Eveil Guy Talpaert  (ROUBAIX),03 20 99 31 31, rue Paul Lafargue CS 60359 59056 ROUBAIX,ROUBAIX,59, 24 places, Centre Hospitalier,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
897,HOPITAL DE JOUR Adèle HUGO (Somain),03 27 86 86 43," 28, rue Wilson  59490 Somain",Somain,59, 20 places, Centre Hospitalier,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
898,Centre Psychothérapique de Jour pour adultes Camille Claudel (Douai),03 27 97 43 23, 283 rue des Wetz  59500 Douai,Douai,59, 20 places, Centre Hospitalier,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,HOPITAL DE JOUR POUR ENFANTS ET ADOLESCENTS LE SEQUOIA  (AVESNELLES),03 27 69 32 60, 2 rue Robert Bichet  59440 AVESNELLES,AVESNELLES,59, 15 places, Centre Hospitalier,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
900,Centre Psychothérapique de jour pour jeunes enfants - CMP - SHEDD  (Douai),03 27 08 01 80, 201 Rue d'Arras  59500 Douai,Douai,59, 15 places, Centre Hospitalier,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,ACCUEIL DE JOUR CREPIN ROLAND  (HAUBOURDIN),03 62 21 04 00, 29 rue Henri Barbusse BP 57 - 59374 LOOS CEDEX 59320 HAUBOURDIN,HAUBOURDIN,59, 10 places, Centre Hospitalier,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
902,SSIAD - ESAD  (WASQUEHAL),03 20 89 65 40, 2 rue Salvador Allende BP 165 59444 WASQUEHAL,WASQUEHAL,59, 0 places, Etablissement de Soins Longue Durée,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0
903,Centre de soins dentaires Abel Caumartin (LILLE),03 20 44 43 47, place de verdun  59037 LILLE,LILLE,59, 0 places, Hôpital dépendant d'un CHRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
904,SIB agence de Lille  (LOOS),03 28 01 90 00, 255 rue Nelson MANDELA  59120 LOOS,LOOS,59, 0 places, Groupement de coopération sanitaire de moyens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905,Centre Psychothérapique  (SAINT SAULVE),03 27 14 31 82, rue Victor Hornez  59880 SAINT SAULVE,SAINT SAULVE,59, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
906,Hôpital Unité Hospitalière sécurisée Interrégionale (UHSI) (LILLE),03 20 44 52 49, rue Paul Nayrac  59037 LILLE,LILLE,59, 0 places, Hôpital dépendant d'un CHRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
907,"Centre de crise pour adolescents ""Le passage"" (Cambrai)",03 27 78 03 20, 251 rue saint Ladre  59400 Cambrai,Cambrai,59, 0 places, Centre Crise Accueil Permanent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
908,Centre d'Examens de Santé  (ROUBAIX),03 20 99 30 70, 85 rue de Maufait CS 60359 59056 ROUBAIX,ROUBAIX,59, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
909,Centre Psychothérapique Enfants Hôpital de jour (Valenciennes),03 27 20 04 70, 194 avenue de Denain  59300 Valenciennes,Valenciennes,59, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910,Unité Thérapeutique d'Accueil Familial Thérapeutique  (DOUAI),03 27 08 12 88, Rue Charles Merlin Site de la Maison de Retraite 59500 DOUAI,DOUAI,59, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
911,"Hôpital de jour psychiatrie infanto-juvénile ""Les petits cygnes"" (Caudry)",03 27 85 02 97, 36 rue du cateau  59540 Caudry,Caudry,59, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
912,Hôpital de jour Psychiatrie Adultes L'Orangerie (Cambrai),03 27 82 41 57, 181 rue Gauthier  59400 Cambrai,Cambrai,59, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
913,Centre hospitalier Compiègne-Noyon  (Compiègne),03 44 23 60 00, 8 avenue Henri Adnot BP 50029 60321 Compiègne,Compiègne,60, 1055 places, Centre Hospitalier,351,74,24,0,97,120,389,0,0,2,1,3,1,0,0
914,Centre hospitalier Général Beauvais (Beauvais),03 44 11 21 21, Avenue Leon Blum BP 40319 60021 Beauvais,Beauvais,60, 745 places, Centre Hospitalier,272,60,51,0,40,0,322,20,0,2,2,3,1,1,0
915,Centre hospitalier  (Senlis),03 44 21 70 00, avenue du Docteur Paul Rougé BP 121 60309 Senlis,Senlis,60, 450 places, Centre Hospitalier,179,17,47,0,32,73,102,0,0,1,1,3,0,0,0
916,Centre hospitalier Laennec (Creil),03 44 61 60 00, Boulevard Laennec BP 72 60109 Creil,Creil,60, 442 places, Etablissement de Soins Longue Durée,299,89,54,0,0,0,0,0,0,0,0,0,0,0,0
917,AP-HP Hôpital Paul Doumer (LIANCOURT),03 44 31 55 00, Labruyère BP 10239 60332 LIANCOURT,LIANCOURT,60, 223 places, Hôpital dépendant d'un CHRU,29,0,0,0,60,94,40,0,0,0,0,1,0,0,0
918,Centre Hospitalier  (Clermont-de-l'Oise),03 44 77 33 00, rue Fréderic Raboisson  60600 Clermont-de-l'Oise,Clermont-de-l'Oise,60, 177 places, Centre Hospitalier,49,22,0,0,18,88,0,0,0,1,0,3,0,0,0
919,CENTRE HOSPITALIER GEORGES DECROZE LA CYBELE (Pont-Sainte-Maxence),03 44 31 77 00, rue Ambroise Croizat BP 30149 60721 Pont-Sainte-Maxence,Pont-Sainte-Maxence,60, 155 places, Centre Hospitalier,0,0,0,0,40,30,85,0,0,0,0,0,0,0,0
920,Etablissement sanitaire PSPH  (CHANTILLY),03 44 62 66 66, 12 Avenue du Général Leclerc BP 30239 60631 CHANTILLY,CHANTILLY,60, 136 places, Etablissement de Soins Pluridisciplinaire,59,77,0,0,0,0,0,0,0,0,0,0,0,0,0
921,Centre Hospitalier Bertinot Juel (Chaumont-en-Vexin),03 44 49 54 54, 34 bis rue Pierre BUDIN BP 53 60240 Chaumont-en-Vexin,Chaumont-en-Vexin,60, 120 places, Centre Hospitalier,20,0,0,0,14,86,0,0,0,0,0,3,0,0,0
922,Centre hospitalier Compiègne-Noyon  (Noyon),03 44 23 60 00, Boulevard Alsace Lorraine BP 159 60406 Noyon,Noyon,60, 110 places, Centre Hospitalier,81,0,0,0,29,0,0,0,0,1,0,2,0,0,0
923,CMPR POUR ENFANTS Bois Larris (LAMORLAYE),03 44 67 11 00, Avenue Jacqueline Mallet BP 67 60260 LAMORLAYE,LAMORLAYE,60, 102 places, Etablissement Réadaptation Fonctionnelle,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0
924,Centre de Rééducation Fonctionnelle CRF Léopold Bellan (Chaumont-en-Vexin),08 26 30 55 55, Hauts-de-France 7 rue Raymond Pillon 60240 Chaumont-en-Vexin,Chaumont-en-Vexin,60, 80 places, Etablissement de Soins Médicaux,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
925,Unité de soins de longue durée Centre Fournier-Sarlovèze (Compiegne),03 44 23 69 01, 22 rue de la justice  BP 50029  60321 Compiegne,Compiegne,60, 73 places, Etablissement de Soins Longue Durée,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0
926,Hôpital Saint Lazare (Crépy-en-Valois),03 44 59 11 19," 16, rue Saint-Lazare  60800 Crépy-en-Valois",Crépy-en-Valois,60, 70 places, Hôpital local,0,0,0,0,30,30,10,0,0,0,0,0,0,0,0
927,Centre de Prévention et de  Réadaptation Cardiovasculaire  (Tracy-le-Mont),03 44 75 50 00, 470 Rue de Choisy  60170 Tracy-le-Mont,Tracy-le-Mont,60, 61 places, Etablissement de Soins Médicaux,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0
928,unité MARILLAC - USLD  (chantilly),03 44 67 44 67, place versepuy  60500 chantilly,chantilly,60, 51 places, Etablissement de Soins Longue Durée,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0
929,HOPITAL USLD  (grandvilliers),03 44 13 32 10, 9 place Barbier  60210 grandvilliers,grandvilliers,60, 31 places, Etablissement de Soins Longue Durée,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
930,Unité MARILLAC - USSR  (chantilly),03 44 67 44 67, place versepuy  60500 chantilly,chantilly,60, 20 places, Etablissement de Convalescence et de Repos,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
931,Service HAD  (Compiègne),03 44 23 60 00, 8 avenue Henri Adnot BP 50029 60321 Compiègne,Compiègne,60, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
932,Centre hospitalier  (Argentan),02 33 12 33 12," 47, rue Aristide Briand BP 209 61202 Argentan",Argentan,61, 385 places, Centre Hospitalier,165,72,25,0,0,0,123,0,0,1,1,5,0,0,0
933,Centre hospitalier  (La Ferté-Macé),02 33 30 50 50, rue Soeur Marie Boitier  61600 La Ferté-Macé,La Ferté-Macé,61, 321 places, Centre Hospitalier,68,0,0,0,55,0,198,0,0,0,0,4,0,0,0
934,Centre hospitalier  (Alençon),02 33 32 30 30," 25, rue de Fresnay BP 354 61014 Alençon",Alençon,61, 282 places, Centre Hospitalier,177,70,20,0,15,0,0,0,0,1,1,4,0,0,0
935,CENTRE HOSPITALIER  (Sées),02 33 31 52 00," 79, rue de la République BP 42 61500 Sées",Sées,61, 259 places, Hôpital local,25,0,0,0,20,0,214,0,0,0,0,2,0,0,0
936,Centre Hospitalier Jacques Monod (Flers),02 33 62 62 00, rue Eugène Garnier CS 60219 61104 Flers,Flers,61, 237 places, Centre Hospitalier,110,55,12,60,0,0,0,0,0,1,0,2,0,0,0
937,Etablissement Public de Santé  (Bellême),02 33 85 33 85," 4, rue du Mans  61130 Bellême",Bellême,61, 237 places, Hôpital local,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0
938,Site hospitalier  (Domfront),02 33 30 57 57, Rue de la gare  61700 Domfront,Domfront,61, 205 places, Centre Hospitalier,30,0,0,0,25,0,150,0,0,0,0,0,0,0,0
939,Centre de gériatrie (SLD- EHPAD- SSR) Service du Centre Hospitalier Intercommunal Alençon- Mamers (Alençon),02 33 32 74 25, Résidence Pastels 8 rue A. de Musset 61014 Alençon,Alençon,61, 188 places, Etablissement de Soins Longue Durée,0,0,0,0,18,110,60,0,0,0,0,0,0,0,0
940,Hôpital local - Hôpital Marescot (Vimoutiers),02 33 12 21 21," 2, rue du Docteur Marescot BP 53 61120 Vimoutiers",Vimoutiers,61, 170 places, Hôpital local,0,0,0,0,30,0,140,0,56,0,0,0,0,0,0
941,Centre Hospitalier Centre Maubert (Flers),02 33 62 62 00," 188, rue de Domfront CS 60219 61104 Flers",Flers,61, 143 places, Centre Hospitalier,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0
942,Centre Hospitalier  (L'Aigle),02 33 24 95 95," 10, rue du Docteur Frinault CS 60189 61305 L'Aigle",L'Aigle,61, 143 places, Centre Hospitalier,52,34,17,0,40,0,0,0,0,1,0,2,0,0,0
943,Centre hospitalier Marguerite de Lorraine (Mortagne-Au-Perche),02 33 83 40 40," 9, rue de Longny BP 33 61400 Mortagne-Au-Perche",Mortagne-Au-Perche,61, 98 places, Centre Hospitalier,42,0,0,0,56,0,0,0,0,0,0,2,0,0,0
944,UNITE DE SOINS DE LONGUE DUREE  (La Roseraie)  (L'Aigle),02 33 24 95 83, 10 rue du Docteur FRINAULT BP 189 61 30 L'Aigle,L'Aigle,1 , 30 places, Etablissement de Soins Longue Durée,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
945,Centre hospitalier Dr Schaffner (Lens),03 21 69 12 34," 99, route de la Bassée BP 8 62307 Lens",Lens,62, 973 places, Centre Hospitalier,304,116,79,174,126,48,126,0,0,2,3,6,0,0,0
946,Centre Hospitalier de Boulogne-sur-Mer (Boulogne-sur-Mer),03 21 99 33 33, rue Jacques Monod BP 609 62321 Boulogne-sur-Mer,Boulogne-sur-Mer,62, 840 places, Centre Hospitalier,414,145,25,100,96,60,0,0,0,3,3,6,2,2,2
947,Fondation Hopale - Institut Calot/Hélio-Marin - Centre Jacques Calvé  (Berck-sur-Mer),03 21 89 20 20, 47 rue du docteur Calot rue du docteur Calot / 72 Esplanade parmentier 62600 Berck-sur-Mer,Berck-sur-Mer,62, 757 places, Etablissement de Soins Pluridisciplinaire,357,120,0,0,280,0,0,0,0,0,0,0,0,0,0
948,Centre Hospitalier Dr Jean Eric TECHER (CALAIS),03 21 46 33 33, 1601 Boulevard des Justes BP339 62107 CALAIS,CALAIS,62, 586 places, Centre Hospitalier,262,60,47,97,90,30,0,0,0,2,2,3,0,0,0
949,Centre hospitalier de Béthune (Béthune),03 21 64 44 44, rue Delbecque BP 809 62408 Béthune,Béthune,62, 567 places, Centre Hospitalier,270,110,38,0,49,100,0,0,0,2,2,3,0,2,1
950,Centre hospitalier  (Saint-Omer),03 21 88 70 00, BP 60357 route de blendecques helfaut 62505 Saint-Omer,Saint-Omer,62, 417 places, Centre Hospitalier,191,60,52,0,114,0,0,0,0,1,2,3,0,0,0
951,Centre Hospitalier de l'Arrondissement de Montreuil sur Mer  (Rang du Fliers),Pas de numéro, BP 8  62180 Rang du Fliers,Rang du Fliers,62, 367 places, Centre Hospitalier,143,64,30,90,40,0,0,0,0,1,1,3,0,0,0
952,Centre Hospitalier d'Hénin-Beaumont  (Hénin-Beaumont),03 21 08 15 15," 585, avenue des Deportés BP 09 62251 Hénin-Beaumont",Hénin-Beaumont,62, 272 places, Centre Hospitalier,80,0,0,102,30,60,0,0,0,0,0,2,0,0,0
953,EHPAD LES HORTENSIAS - EHPAD L'OASIS - UPAD CARPE DIEM - UHR  L'AQUARELLE - USLD - SSR  (Saint-Pol-sur-Ternoise),03 21 03 20 00, Rue d'Hesdin et rue des Procureurs BP 90079 62165 Saint-Pol-sur-Ternoise,Saint-Pol-sur-Ternoise,62, 255 places, Centre Hospitalier,0,0,0,0,40,30,185,0,0,0,0,0,0,0,0
954,EHPAD ALLART DE FOURMENT et POMMIERS-UPAD OLIVIERS-FAH PANNERIE-FAMVH LONGUES HAIES-FAVH CHATAIGNIER  (Frévent),03 21 03 54 00," 2, rue de Charité BP 23 62270 Frévent",Frévent,62, 230 places, Centre Hospitalier,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0
955,Fondation Hopale - Centre Sainte Barbe  (Fouquières-lez-Lens),03 21 08 98 00," 4, rue d'Artois 62740 Fouquières-lez-Lens  62740 Fouquières-lez-Lens",Fouquières-lez-Lens,62, 155 places, Etablissement Réadaptation Fonctionnelle,0,0,0,0,26,129,0,0,0,0,0,0,0,0,0
956,USLD  (SAINT-OMER),03 21 88 72 00, Route de Blendecques BP 60357 HELFAUT 62505 SAINT-OMER,SAINT-OMER,62, 80 places, Etablissement de Soins Longue Durée,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0
957,Cente hospitalier de Bapaume (Bapaume),03 21 16 06 00," 55, rue de la République BP 31 62453 Bapaume",Bapaume,62, 76 places, Centre Hospitalier,0,0,0,20,56,0,0,0,0,0,0,0,0,0,0
958,Résidence Jean-François SOUQUET (Boulogne-sur-Mer),Pas de numéro, Rue Jacques Monod BP 609 62200 Boulogne-sur-Mer,Boulogne-sur-Mer,62, 60 places, Etablissement de Soins Longue Durée,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0
959,Etablissement Hopale Rééducation Centre Arras  (Arras),03 61 33 90 10, Boulevard Georges Besnier 62000 Arras Boulevard Georges Besnier 62000 Arras,Arras,62, 48 places, Etablissement Réadaptation Fonctionnelle,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0
960,S.S.R  (MARCONNE),03 21 90 16 31, C.D 136 Le Grand Tour B.P 89 62140 MARCONNE,MARCONNE,62, 35 places, Centre Hospitalier,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
961,USLD Les Opalines (Montreuil-sur-Mer),03 21 90 84 30, Place Sainte Austreberthe  62170 Montreuil-sur-Mer,Montreuil-sur-Mer,62, 30 places, Etablissement de Soins Longue Durée,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
962,Hôpital de jour psychiatrie Les Goélands (Berck-sur-Mer),03 21 84 52 23," 29, rue des patures  62600 Berck-sur-Mer",Berck-sur-Mer,62, 20 places, Centre Hospitalier,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
963,SSR dont 4 lits identifiés en soins palliatifs  (Aire-sur-la-Lys),03 21 39 00 65, Quai des Bateliers BP 80149 62922 Aire-sur-la-Lys,Aire-sur-la-Lys,62, 20 places, Centre Hospitalier,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
964,Psychiatrie adultes Hôpital de Jour L'Escale (Hénin-Beaumont),03 21 76 47 00, Rue Victor Hugo  62110 Hénin-Beaumont,Hénin-Beaumont,62, 20 places, Centre Hospitalier,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
965,Hôpital de jour psychiatrie Les quatre Saisons (Campagne-les-Hesdin),03 21 86 22 23," 404, rue Ranger  62870 Campagne-les-Hesdin",Campagne-les-Hesdin,62, 15 places, Centre Hospitalier,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
966,Hopital de  Jour  Psychiatrie  (ETAPLES),03 21 89 18 30, ETAPLES Rue  Codron carlu 62630 ETAPLES,ETAPLES,62, 10 places, Centre Hospitalier,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
967,Centre de Traitement des Dépendances d'Addictologie Le Square (Lens),03 21 69 14 30," 31, rue Jean Souvraz  62300 Lens",Lens,62, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
968,Unité de vie Alzheimer Le Jardin des Oyats  (Berck sur mer),03 21 89 43 89," 16, Avenue Dr Fouchet  62600 Berck sur mer",Berck sur mer,62, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
969,CMPP Pédopsychiatrie Hôpital de Jour Psychiatrie Infanto-juvénile (Lens),03 21 69 11 08, Rue Auguste Lefebvre  62300 Lens,Lens,62, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970,Polyclinique de Riaumont  (LIEVIN),Pas de numéro, Rue entre deux monts  62800 LIEVIN,LIEVIN,62, 0 places, Etablissement de Soins Pluridisciplinaire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
971,Centre de Santé Mentale J.B. PUSSIN  (Lens),Pas de numéro, Rue Vincent Auriol  62300 Lens,Lens,62, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
972,Psychiatrie Adulte AVION Hôpital de jour (Avion),03 21 28 43 92, Rue Falconnet  62210 Avion,Avion,62, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
973,CSPA - Centre de Soins Psychothérapiques pour Adolescents Centre de soins pour adolescents Roger Misès (DAINVILLE),03 21 21 19 70, rue de Whitstable  62000 DAINVILLE,DAINVILLE,62, 0 places, Centre Crise Accueil Permanent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
974,Centre Hospitalier d'Arras  (Arras),03 21 21 10 10, 3 Boulevard Georges Besnier CS 90006 62022 Arras,Arras,62, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,2,2,6,1,0,0
975,Clinique Aloïse Corbaz  (Arras),03 21 21 10 10, 3 Boulevard Georges Besnier  62022 Arras,Arras,62, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
976,CHRU Clermont- Ferrand Gabriel-Montpied (Clermont-Ferrand),04 73 75 07 50," 58, Bd Montalembert  63003 Clermont-Ferrand",Clermont-Ferrand,63, 1095 places, Hôpital dépendant d'un CHRU,826,269,0,0,0,0,0,0,0,5,3,7,4,0,0
977,CHRU Clermont- Ferrand CHU Estaing (Clermont-Ferrand),04 73 75 07 50, 1 place Lucie-Aubrac  63003 Clermont-Ferrand,Clermont-Ferrand,63, 502 places, Hôpital dépendant d'un CHRU,269,116,117,0,0,0,0,0,0,2,1,7,0,0,0
978,Centre hospitalier de Billom (Billom),04 73 60 48 48, 3 BOULEVARD SAINT-ROCH BP 43 63160 Billom,Billom,63, 349 places, Centre Hospitalier,20,0,0,0,26,66,237,0,0,0,0,0,0,0,0
979,Centre hospitalier Guy Thomas (Riom),04 73 67 80 00, 79 bd Etienne Clémentel CS 20 167 63204 Riom,Riom,63, 334 places, Centre Hospitalier,153,32,0,0,0,0,149,0,0,1,0,2,0,0,0
980,Centre hospitalier  (Thiers),04 73 51 10 00, Route du Fau BP 89 63307 Thiers,Thiers,63, 332 places, Centre Hospitalier,45,32,16,31,25,30,153,10,54,1,0,3,0,0,0
981,CHRU Clermont- Ferrand Louise Michel (Cebazat),04 73 75 07 50, Route de chateaugay  63118 Cebazat,Cebazat,63, 323 places, Hôpital dépendant d'un CHRU,29,0,0,0,70,110,114,0,0,0,0,1,0,0,0
982,Centre hospitalier  (Ambert),04 73 82 73 82," 14, avenue Georges Clemenceau  63600 Ambert",Ambert,63, 307 places, Centre Hospitalier,53,1,0,5,44,40,164,0,0,1,0,2,0,0,0
983,Centre hospitalier Paul Ardier (Issoire),04 73 89 72 72," 13, rue du Docteur Sauvat CS 20084 63503 Issoire",Issoire,63, 249 places, Centre Hospitalier,65,22,18,0,0,29,115,0,0,1,0,2,0,0,0
984,Centre Hospitalier Etienne Clementel (Enval),04 73 33 75 55, BP 19  63530 Enval,Enval,63, 151 places, Centre Hospitalier,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0
985,Centre Hospitalier Centre Hospitalier du Mont-Dore (Le Mont-Dore),04 73 65 33 33," 2, rue du Capitaine Chazotte BP 107 63240 Le Mont-Dore",Le Mont-Dore,63, 110 places, Centre Hospitalier,20,0,0,0,30,30,30,0,107,0,0,1,0,0,0
986,EHPAD-USLD Aquarelle  (Thiers),04 73 51 10 00, Centre Hospitalier de Thiers Route du Fau BP 89 63307 Thiers,Thiers,63, 108 places, Etablissement de Soins Longue Durée,0,0,0,0,0,30,78,0,0,0,0,0,0,0,0
987,Centre de Rééducation Gériatrique Centre Michel BARBAT (BEAUMONT),04 73 44 11 00, 449 avenue du Parc  63110 BEAUMONT,BEAUMONT,63, 100 places, Etablissement Réadaptation Fonctionnelle,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
988,MECS TZA NOU  (LA BOURBOULE),04 73 81 31 31, 230 RUE VERCINGETORIX  63150 LA BOURBOULE,LA BOURBOULE,63, 52 places, Etablissement de sante? prive? autorise? en SSR,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0
